Financial Access Assignment Tool Kit,,,AOC FIN- Technical,,FIN - Business Analyst - P,FIN - Business Analyst - L,FIN - Law Table Maint,FIN - PMT,FIN - Court Clerk (this role is not needed for FIN),FIN - Court Administrator,FIN - Accountant,FIN - Cashier,FIN - Court IT User,FIN - Judicial Officer,FIN - Probation,,AOC Helpdesk Staff - P,AOC Helpdesk Staff - L,AOC FIN - Integration Manager,AOC FIN - Security Admin,AOC Education Staff - P,AOC Education Staff - L,AOC QA (Ask Saint) - P,AOC QA (Ask Saint) - L,AOC FIN - Report Developer,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Appellate Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Check Fee Payments,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Civil Fee Payments,,,,,x,,,,,,x,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Community Corrections Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Criminal Fee Payments,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Drug Court Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Family Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Inmate Account Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Miscellaneous Fee Payments,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Pre-trial Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Probate Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Probation Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Prosecutor Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Issue Change From Drawer for Public Defender Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain AR/Charge Customers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Card Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Cash Drawer Open Reason,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Collection Stations,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Credit Card Devices,,,,x,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Deposit Configuration,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Deposit Type Codes,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Invoice Headers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Over/Under Configuration,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Receipt Headers,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Receipt Pools,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Slip Validation,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Stations - Invoicing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Tender Method Groups,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Tender Methods,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Tills,,,,x,x,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain VeriFone Point Devices,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manage Cash Buys,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,MN Financial Location Configuraiton,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Modify Open Cash Drawer,,,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Appellate Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Check Fee Transaction from one Till to another,,,,,x,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Civil Fee Transaction from one Till to another,,,,,x,,,,,x,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Community Corrections Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Criminal Fee Transaction from one Till to another,,,,,x,,,,,x,,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Draw Down Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Drug Court Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Family Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Inmate Account Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Miscellaneous Fee Transaction from one Till to another,,,,,x,,,,,,,,,,,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Move Pretrial Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Probate Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Probation Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Prosecutor Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Move Public Defender Fee Transaction from one Till to another,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NH: Run Revenue Transfer Report - Final Submission,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Open Cash Drawer Transaction,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Open Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Open Tills,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Override Export Deposits for Overages/Shortages,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Reconcile Tills,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Re-export Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Appellate Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Check Fee Payments,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Civil Fee Payments,,,,,x,,,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Community Corrections Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Criminal Fee Payments,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Drug Court Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Family Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Inmate Account Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Miscellaneous Fee Payments,,,,,x,,,,,,x,,,,x,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Pre-Trial Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Probate Fee Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Probation Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Prosecutor Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Refund at a Later Date Public Defender Payments,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Re-open Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Re-open Tills,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Reset Pending Deposits,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Run Cashier Accuracy Report,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Run Deposit Report,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Run Receipt Journal by Till,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Run Receipt Journal Report,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Run Till Balance Report,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Sign on to Any Till,,,,,x,,,,,x,,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,Sign on to My Tills,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,View Till Totals,,,,,x,,,,,,x,,,,x,,x,,,,x,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Enterprise Custom Reports,Maintain Enterprise Custom Reports,View,,,x,x,,,,,x,,,,,x,x,x,,,x,x,,,x,,,,,,,,,,,,,,,,,,,,
,,Add,,,,x,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
,,Modify,,,,x,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
,,Delete,,,,x,,,,,,,,,,,,x,,,,x,,,x,,,,,,,,,,,,,,,,,,,,
,Maintain Enterprise Custom Reports Output Format Codes,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
,Run Custom Test Report,,,,,,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,
,Run Enterprise Custom Reports (Add lines for each ECR installed),,x,,x,x,,,,x,x,,,,,x,x,x,,x,x,x,,,x,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forms,Export Forms,,x,,x,x,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Manage Forms,,,,x,x,,,,x,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Product Admin,Roles (Global),View,,,x,x,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
,,Add,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,Modify,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Roles (Local),View,,,x,x,,,,,,,,,,,x,x,,x,x,x,,,,,,,,,,,,,,,,,,,,,,,
,,Add,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,,Modify,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Assign Roles to Users,,,,,,,,,,,,,,,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Check Image Document Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Digital Signature Document Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Document Type Security,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Document Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Form Instance Document Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Mugshot Document Types,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Organization Chart Attributes,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Party or Case Affiliates,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Party Photo Document Types,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Maintain Release Checklist,,,,x,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Override Document Security,,,,x,x,,,,,x,,,,,x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
