"User","Location","Role","Effective","Obsolete","Right Type (Tab)","Right Group (Description)","Right Action","RightID","Access"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitrator Statuses","","8177","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Codes","Maintain Arbitrators","","8176","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Case Tab","View","8199","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Occurrences","Add","8668","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Occurrences","Modify","8670","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Occurrences","Delete","8669","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Party Tab","View","8208","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Statuses","View","8200","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Statuses","Add","8201","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Statuses","Modify","8202","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Arbitration Statuses","Delete","8203","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Assign Arbitrators","","8204","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Generate Potential Arbitrator List","","8205","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Maintain Arbitration Billing","","8206","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Arbitration Data","Maintain Potential Arbitrator List Responses","","8207","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payment Status","Add","8329","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payment Status","Modify","8330","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payment Status","Delete","8224","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payment Status Types","","8284","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payments","View","7300","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payments","Add","7297","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payments","Modify","7299","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Attorney Payments","Delete","7298","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Maintain Attorney Payment Misc. Activity Types","","7280","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Maintain Attorney Remittance Header","","7303","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Maintain Michigan CAP Fee","","7387","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Attorney Payments","Process Attorney Payments","","7301","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Bond Company Statuses","View","6296","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Bond Company Statuses","Add","6231","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Bond Company Statuses","Modify","6233","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Bond Company Statuses","Delete","6232","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Groups","","6277","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Number Formats","","7293","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Number ID Pools","","7294","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Physical Locations","","6039","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Posting Locations","","6072","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Setting Amend Reasons","","7998","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Setting Types","","7997","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Statuses","","6074","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Bond Types","","714","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain Collateral Types","","8020","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bond Codes","Maintain License Types","","8807","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Add Multiple Cases to a Bond","","6882","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Add Property to Bond Company when Posting Property Bonds","","8111","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Add Property to Bonding Insurance Company when Posting Property Bonds","","8109","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Change Current Civil Bond Party Names","","6299","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Change Current Criminal Bond Party Names","","6323","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Change Current Family Bond Party Names","","6349","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Change Current Probate Bond Party Names","","6391","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Settings","View","8045","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Settings","Add","8042","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Settings","Modify","8044","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Settings","Delete","8043","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Statuses","View","6302","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Statuses","Add","6006","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Statuses","Modify","6007","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Bond Statuses","Delete","6008","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil External Cash Bonds","View","6680","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil External Cash Bonds","Add","6681","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil External Cash Bonds","Modify","6682","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil External Cash Bonds","Delete","7405","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Property Bonds","View","8011","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Property Bonds","Add","8008","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Property Bonds","Modify","8010","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Property Bonds","Delete","8009","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Receipted Cash Bonds","View","6664","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Receipted Cash Bonds","Add","6665","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Receipted Cash Bonds","Modify","6666","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Receipted Cash Bonds","Delete","7401","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Surety Bonds","View","6000","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Surety Bonds","Add","6001","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Surety Bonds","Modify","6002","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Civil Surety Bonds","Delete","6005","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Convert Registry to Fees","","6782","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Settings","View","8049","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Settings","Add","8046","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Settings","Modify","8048","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Settings","Delete","8047","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Statuses","View","6326","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Statuses","Add","6015","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Statuses","Modify","6016","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Bond Statuses","Delete","6017","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal External Cash Bonds","View","6684","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal External Cash Bonds","Add","6685","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal External Cash Bonds","Modify","6686","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal External Cash Bonds","Delete","7406","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Property Bonds","View","8065","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Property Bonds","Add","8062","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Property Bonds","Modify","8064","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Property Bonds","Delete","8063","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Receipted Cash Bonds","View","6668","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Receipted Cash Bonds","Add","6669","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Receipted Cash Bonds","Modify","6670","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Receipted Cash Bonds","Delete","7402","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Surety Bonds","View","6009","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Surety Bonds","Add","6010","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Surety Bonds","Modify","6011","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Criminal Surety Bonds","Delete","6014","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Settings","View","8053","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Settings","Add","8050","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Settings","Modify","8052","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Settings","Delete","8051","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Statuses","View","6352","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Statuses","Add","6024","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Statuses","Modify","6025","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Bond Statuses","Delete","6026","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family External Cash Bonds ","View","6692","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family External Cash Bonds ","Add","6693","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family External Cash Bonds ","Modify","6694","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family External Cash Bonds ","Delete","7407","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Property Bonds","View","8069","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Property Bonds","Add","8066","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Property Bonds","Modify","8068","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Property Bonds","Delete","8067","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Receipted Cash Bonds ","View","6676","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Receipted Cash Bonds ","Add","6677","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Receipted Cash Bonds ","Modify","6678","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Receipted Cash Bonds ","Delete","7403","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Surety Bonds","View","6027","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Surety Bonds","Add","6028","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Surety Bonds","Modify","6029","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Family Surety Bonds","Delete","6032","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Link a Freestanding Bond to a Case","","6941","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Maintain Non-disclosed checkbox on bond detail tab.","","8781","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Maintain Property Description and Recording Data on Surety Bonds","","7460","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Maintain Property Value Amounts on Surety Bonds","","7459","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Maintain Surety Property Bonds","","7461","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Civil Bond Setting Percentage","","8058","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Civil Property Bonds Percentage","","8118","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Criminal Bond Setting Percentage","","8059","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Criminal Property Bonds Percentage","","8116","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Family Bond Setting Percentage","","8060","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Family Property Bonds Percentage","","8119","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Owner Names on Property Bonds","","8126","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Probate Bond Setting Percentage","","8061","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Modify Probate Property Bonds Percentage","","8120","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Override Bond Surety Limits","","500119","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Override Do Not Allow Bond Conversion","","7759","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Override Maximum Bond Amount Allowed on Property","","8117","Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Override System-Generated Bond Number","","7295","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Settings","View","8057","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Settings","Add","8054","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Settings","Modify","8056","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Settings","Delete","8055","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Statuses","View","6394","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Statuses","Add","6033","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Statuses","Modify","6034","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Bond Statuses","Delete","6035","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate External Cash Bonds","View","6688","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate External Cash Bonds","Add","6689","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate External Cash Bonds","Modify","6690","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate External Cash Bonds","Delete","7408","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Property Bonds","View","8073","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Property Bonds","Add","8070","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Property Bonds","Modify","8072","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Property Bonds","Delete","8071","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Receipted Cash Bonds","View","6672","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Receipted Cash Bonds","Add","6673","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Receipted Cash Bonds","Modify","6674","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Receipted Cash Bonds","Delete","7404","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Surety Bonds","View","6018","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Surety Bonds","Add","6019","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Surety Bonds","Modify","6020","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Probate Surety Bonds","Delete","6023","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Bonds Data","Set Up Convert Registry to Fees","","7095","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Add/Modify Litigation Control Order Activity/Hearing Rows","","7820","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Delete Litigation Control Order Activity/Hearing Rows","","7821","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Appeal Sections","","8560","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Appeals Types","","7239","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Assignee Pools","","700197","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Assignee Qualifications","","8678","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Assignee/Assignment Statuses","","8685","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Assignees","","700007","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Assignments","","700013","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Attorney Removal Reasons","","164","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Audit Report Type Code","","7462","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Audit Status Code","","7453","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Batch Processing Codes","","7797","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Assignment Reasons","","74","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Cross Reference Number Types","","6701","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Flags","","63","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Number Formats","","567","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Number ID Pools","","568","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Number Pool Restart Annually","","570","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Number Pool Starting ID","","569","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Party Name Types","","1015","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Plan Criteria","","8564","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Plans","","8595","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Security Groups","","92","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Statuses","","58","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Subtypes","","68","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Type Change Reason","","7513","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Case Types","","71","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain CaseFile Loc/Custody Codes","","6492","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Claim Class","","6275","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Conflict Checking Configuration","","8605","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain CSI UWS Case Types","","7817","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Extended Connection Types","","77","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Filing Review Queue Configuration","","8706","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Interpreter Language Qualifications","","700196","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Interpreters","","31","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Litigation Control Orders","","7413","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Natures of Incapacity","","7477","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Notice Setup Codes","","6813","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Party Removal Reasons","","1014","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Proposed Order Rejection Reasons","","8610","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Related Case Reasons","","6503","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Time Standard Groups","","7994","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Time Standard Statuses","","7995","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Time Standards","","1016","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Maintain Time Tracks","","1017","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Codes","Process Litigation Control Orders","","7414","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Access scheduling screen","","8587","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Add a Case Classic","","7181","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Add a comment to Case Plan","","8586","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Add New Additional Barcode","Add","7012","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Adoption Cases","View","584","Not Granted"
"pd1aach","Pierce County District Court","CM - Accountant","","","Case Data","Adoption Cases","Add","582","Not Granted"
